Date,Open,High,Low,Close,Weighted,Volume
2013-09-08 15:09:00,179.56,179.56,114.48,114.48,126.654114,1109.87
2013-09-08 19:09:00,114.48,178.36,113.41,138.6,139.701254,7351.08
2013-09-08 23:09:00,138.6,177.98,102.56,120.35,130.79621,8420.66
2013-09-09 03:09:00,120.35,185.54,108.92,138.38,131.116223,8776.92
2013-09-09 07:09:00,138.38,162.68,112.69,126.53,122.434665,4075.85
2013-09-09 11:09:00,126.53,134.64,123.56,134.64,126.842956,1647.69
2013-09-09 15:09:00,134.64,185.44,112.39,131.48,127.580206,21823.87
2013-09-09 19:09:00,131.48,183.45,110.85,141.16,128.271801,94830.06
2013-09-09 23:09:00,141.16,179.79,112.26,134.84,130.712631,64221.73
2013-09-10 03:09:00,134.84,179.79,104.64,125.85,132.496985,11645.16
2013-09-10 07:09:00,125.85,179.79,118.66,179.79,137.689347,4937.54
2013-09-10 11:09:00,179.79,179.79,122.26,137.84,130.224007,1540.55
2013-09-10 15:09:00,137.84,195.12,118.66,195.12,133.344834,20135.07
2013-09-10 19:09:00,195.12,195.12,117.44,130.89,131.533128,45620.95
2013-09-10 23:09:00,130.89,188.18,107.02,179.79,131.005617,53638.94
2013-09-11 03:09:00,179.79,179.79,118.66,153.71,130.993631,15631.47
2013-09-11 07:09:00,153.71,179.79,118.11,126.7,130.946905,4611.95
2013-09-11 11:09:00,126.7,136.47,118.66,118.66,125.133317,1041.86
2013-09-11 15:09:00,118.66,189.69,116.26,123.77,131.694678,22519.79
2013-09-11 19:09:00,123.77,187.28,117.76,187.28,132.749482,52566.14
2013-09-11 23:09:00,187.28,201.52,113.51,153,135.853874,48800.07
2013-09-12 03:09:00,153,191.78,116.09,163.18,144.822049,18929.69
2013-09-12 07:09:00,163.18,163.56,111.74,148.13,139.901612,3298.88
2013-09-12 11:09:00,148.13,169.2,124.08,144.31,133.42241,5537.03
2013-09-12 15:09:00,144.31,205.89,117.3,133,136.94646,16267.87
2013-09-12 19:09:00,133,163.14,119.97,135.78,134.957155,56950.57
2013-09-12 23:09:00,135.78,191.98,119.74,136.7,137.008737,58961.71
2013-09-13 03:09:00,135.7,198.84,117,151.2,133.685456,16269.52
2013-09-13 07:09:00,151.2,191.9,124.04,130.08,141.852983,5991.87
2013-09-13 11:09:00,130.08,170.88,127.03,169.78,142.573121,770.18
2013-09-13 15:09:00,169.78,191.13,106.41,152.73,137.449455,21455.86
2013-09-13 19:09:00,152.73,201.46,120.65,156.92,138.353255,80605.99
2013-09-13 23:09:00,156.92,192.18,120,142.76,138.060776,43751.46
2013-09-14 03:09:00,142.76,191.43,121.33,165.11,137.505235,15235.58
2013-09-14 07:09:00,165.11,191.96,108.66,169.2,142.192821,2772.76
2013-09-14 11:09:00,169.2,171.58,130.81,171.56,134.452855,817.07
2013-09-14 15:09:00,171.56,171.56,117.31,136.88,137.819451,12243.88
2013-09-14 19:09:00,136.88,189.03,119.85,146.62,141.8938,29982.16
2013-09-14 23:09:00,146.62,191.31,118.75,141.77,139.120251,13767.34
2013-09-15 03:09:00,141.77,186.72,118.37,139.86,133.927573,7378.07
2013-09-15 07:09:00,139.86,157.18,121.72,121.72,135.416881,4749.07
2013-09-15 11:09:00,121.72,143.18,121.72,141,141.072148,350
2013-09-15 15:09:00,141,160.06,125.99,128.04,144.642365,1468.12
2013-09-15 19:09:00,128.04,190.34,124.3,135.41,144.309248,6850.36
2013-09-15 23:09:00,135.41,166.63,111.1,159.23,141.194472,12821.87
2013-09-16 03:09:00,159.23,169.29,125.55,159.28,145.845352,5036.04
2013-09-16 07:09:00,159.28,162.52,118.85,127.47,135.936104,2616.77
2013-09-16 11:09:00,127.47,139.07,124.2,133.64,134.624281,3980.84
2013-09-16 15:09:00,133.64,198.64,125.85,132.08,137.464223,23630.1
2013-09-16 19:09:00,132.08,190.02,123.46,174.1,138.145263,67996.48
2013-09-16 23:09:00,174.1,189.04,119.42,143.6,137.495409,81618.65
2013-09-17 03:09:00,160.33,199.11,118.63,174.45,145.286037,22485.92
2013-09-17 07:09:00,174.45,193.9,122.46,125.12,144.361796,3922.31
2013-09-17 15:09:00,125.12,212.4,124.56,170.76,138.316021,22369.85
2013-09-17 19:09:00,170.76,190.29,110.4,136.39,137.37224,79642.93
2013-09-17 23:09:00,136.39,191.07,119.49,136.54,138.974824,66461.93
2013-09-18 03:09:00,136.54,190.4,120.28,126.41,133.332065,16470.51
2013-09-18 07:09:00,126.41,190.34,111.51,128.98,130.626291,5057.85
2013-09-18 11:09:00,128.98,171.97,125.46,135.63,139.423696,433.05
2013-09-18 15:09:00,135.63,213.84,128.9,137.28,137.959252,23157.84
2013-09-18 19:09:00,137.28,214.37,101.6,135.1,138.759806,70329.02
2013-09-18 23:09:00,135.1,215.84,116,136.05,139.43664,64436.46
2013-09-19 03:09:00,136.05,190.74,119.25,190.65,135.198656,25140.19
2013-09-19 07:09:00,190.65,191.26,125.51,137.65,127.990577,6791.18
2013-09-19 11:09:00,137.65,146.81,130.93,146.81,131.028781,427.94
2013-09-19 15:09:00,146.81,214.23,126.48,141.69,138.407714,14532.81
2013-09-19 19:09:00,141.69,160.81,110.5,131.12,134.138309,64591.62
2013-09-19 23:09:00,131.12,208.12,119.87,146.71,132.359985,55556.78
2013-09-20 03:09:00,146.71,186.62,108.82,155.4,132.594657,22930.92
2013-09-20 07:09:00,155.4,185.76,123.91,134.78,136.47874,2599.92
2013-09-20 11:09:00,134.78,169.09,123.45,125.93,135.622981,2183.53
